,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01
1,2010-01-02,2011-01-02,2012-01-02,2013-01-02,2014-01-02,2015-01-02,2016-01-02,2017-01-02,2018-01-02,2019-01-02,2020-01-02
2,2010-01-03,2011-01-03,2012-01-03,2013-01-03,2014-01-03,2015-01-03,2016-01-03,2017-01-03,2018-01-03,2019-01-03,2020-01-03
3,2010-01-04,2011-01-04,2012-01-04,2013-01-04,2014-01-04,2015-01-04,2016-01-04,2017-01-04,2018-01-04,2019-01-04,2020-01-04
4,2010-01-05,2011-01-05,2012-01-05,2013-01-05,2014-01-05,2015-01-05,2016-01-05,2017-01-05,2018-01-05,2019-01-05,2020-01-05
5,2010-01-06,2011-01-06,2012-01-06,2013-01-06,2014-01-06,2015-01-06,2016-01-06,2017-01-06,2018-01-06,2019-01-06,2020-01-06
6,2010-01-07,2011-01-07,2012-01-07,2013-01-07,2014-01-07,2015-01-07,2016-01-07,2017-01-07,2018-01-07,2019-01-07,2020-01-07
7,2010-01-08,2011-01-08,2012-01-08,2013-01-08,2014-01-08,2015-01-08,2016-01-08,2017-01-08,2018-01-08,2019-01-08,2020-01-08
8,2010-01-09,2011-01-09,2012-01-09,2013-01-09,2014-01-09,2015-01-09,2016-01-09,2017-01-09,2018-01-09,2019-01-09,2020-01-09
9,2010-01-10,2011-01-10,2012-01-10,2013-01-10,2014-01-10,2015-01-10,2016-01-10,2017-01-10,2018-01-10,2019-01-10,2020-01-10
10,2010-01-11,2011-01-11,2012-01-11,2013-01-11,2014-01-11,2015-01-11,2016-01-11,2017-01-11,2018-01-11,2019-01-11,2020-01-11
11,2010-01-12,2011-01-12,2012-01-12,2013-01-12,2014-01-12,2015-01-12,2016-01-12,2017-01-12,2018-01-12,2019-01-12,2020-01-12
12,2010-01-13,2011-01-13,2012-01-13,2013-01-13,2014-01-13,2015-01-13,2016-01-13,2017-01-13,2018-01-13,2019-01-13,2020-01-13
13,2010-01-14,2011-01-14,2012-01-14,2013-01-14,2014-01-14,2015-01-14,2016-01-14,2017-01-14,2018-01-14,2019-01-14,2020-01-14
14,2010-01-15,2011-01-15,2012-01-15,2013-01-15,2014-01-15,2015-01-15,2016-01-15,2017-01-15,2018-01-15,2019-01-15,2020-01-15
15,2010-01-16,2011-01-16,2012-01-16,2013-01-16,2014-01-16,2015-01-16,2016-01-16,2017-01-16,2018-01-16,2019-01-16,2020-01-16
16,2010-01-17,2011-01-17,2012-01-17,2013-01-17,2014-01-17,2015-01-17,2016-01-17,2017-01-17,2018-01-17,2019-01-17,2020-01-17
17,2010-01-18,2011-01-18,2012-01-18,2013-01-18,2014-01-18,2015-01-18,2016-01-18,2017-01-18,2018-01-18,2019-01-18,2020-01-18
18,2010-01-19,2011-01-19,2012-01-19,2013-01-19,2014-01-19,2015-01-19,2016-01-19,2017-01-19,2018-01-19,2019-01-19,2020-01-19
19,2010-01-20,2011-01-20,2012-01-20,2013-01-20,2014-01-20,2015-01-20,2016-01-20,2017-01-20,2018-01-20,2019-01-20,2020-01-20
20,2010-01-21,2011-01-21,2012-01-21,2013-01-21,2014-01-21,2015-01-21,2016-01-21,2017-01-21,2018-01-21,2019-01-21,2020-01-21
21,2010-01-22,2011-01-22,2012-01-22,2013-01-22,2014-01-22,2015-01-22,2016-01-22,2017-01-22,2018-01-22,2019-01-22,2020-01-22
22,2010-01-23,2011-01-23,2012-01-23,2013-01-23,2014-01-23,2015-01-23,2016-01-23,2017-01-23,2018-01-23,2019-01-23,2020-01-23
