date,sentiment
2009-12-31,22.39
2010-01-01,33.56
2010-01-02,37.18
2010-01-03,22.55
2010-01-04,31.96
2010-01-05,24.07
2010-01-06,20.96
2010-01-07,19.22
2010-01-08,23.13
2010-01-09,16.36
2010-01-10,19.64
2010-01-11,16.4
2010-01-12,26.16
2010-01-13,30.41
2010-01-14,29.32
2010-01-15,24.55
2010-01-16,27.02
2010-01-17,28.18
2010-01-18,22.59
2010-01-19,36.06
2010-01-20,25.76
2010-01-21,21.21
2010-01-22,29.17
2010-01-23,18.0
2010-01-24,20.41
2010-01-25,30.88
2010-01-26,25.2
2010-01-27,30.4
2010-01-28,24.78
2010-01-29,14.36
2010-01-30,13.15
2010-01-31,28.22
2010-02-01,24.88
2010-02-02,34.38
2010-02-03,28.77
2010-02-04,20.18
2010-02-05,17.96
2010-02-06,15.94
2010-02-07,22.76
2010-02-08,16.21
2010-02-09,21.54
2010-02-10,18.48
2010-02-11,11.97
2010-02-12,33.61
2010-02-13,16.31
2010-02-14,12.68
2010-02-15,17.47
2010-02-16,11.14
2010-02-17,22.17
2010-02-18,37.71
2010-02-19,28.04
2010-02-20,24.29
2010-02-21,29.63
2010-02-22,28.25
2010-02-23,24.45
2010-02-24,18.04
2010-02-25,24.34
2010-02-26,26.96
2010-02-27,19.86
2010-02-28,0.0
2010-03-01,19.8
2010-03-02,29.57
2010-03-03,36.47
2010-03-04,27.52
2010-03-05,32.22
2010-03-06,22.84
2010-03-07,35.64
2010-03-08,26.44
2010-03-09,17.92
2010-03-10,28.63
2010-03-11,25.54
2010-03-12,22.65
2010-03-13,30.39
2010-03-14,26.43
2010-03-15,26.07
2010-03-16,28.85
2010-03-17,26.42
2010-03-18,31.6
2010-03-19,37.05
2010-03-20,24.29
2010-03-21,31.24
2010-03-22,37.62
2010-03-23,34.22
2010-03-24,37.04
2010-03-25,39.36
2010-03-26,45.84
2010-03-27,49.19
2010-03-28,34.85
2010-03-29,33.14
2010-03-30,34.44
2010-03-31,42.25
2010-04-01,33.5
2010-04-02,39.69
2010-04-03,31.63
2010-04-04,33.17
2010-04-05,28.52
2010-04-06,31.49
2010-04-07,31.26
2010-04-08,36.0
2010-04-09,39.79
2010-04-10,40.1
2010-04-11,26.75
2010-04-12,27.62
2010-04-13,32.87
2010-04-14,35.7
2010-04-15,33.2
2010-04-16,33.7
2010-04-17,31.21
2010-04-18,41.09
2010-04-19,50.97
2010-04-20,30.02
2010-04-21,37.21
2010-04-22,35.42
2010-04-23,25.99
2010-04-24,23.98
2010-04-25,21.73
2010-04-26,27.01
2010-04-27,32.19
2010-04-28,27.16
2010-04-29,30.28
2010-04-30,32.91
2010-05-01,33.46
2010-05-02,31.73
2010-05-03,33.97
2010-05-04,28.53
2010-05-05,31.78
2010-05-06,25.28
2010-05-07,23.45
2010-05-08,31.34
2010-05-09,27.41
2010-05-10,36.23
2010-05-11,32.38
2010-05-12,24.09
2010-05-13,31.31
2010-05-14,24.96
2010-05-15,34.6
2010-05-16,23.56
2010-05-17,25.08
2010-05-18,31.92
2010-05-19,25.41
2010-05-20,32.44
2010-05-21,30.1
2010-05-22,32.38
2010-05-23,31.56
2010-05-24,28.69
2010-05-25,35.82
2010-05-26,33.03
2010-05-27,31.06
2010-05-28,34.52
2010-05-29,36.7
2010-05-30,31.84
2010-05-31,32.45
2010-06-01,20.63
2010-06-02,33.16
2010-06-03,31.88
2010-06-04,29.7
2010-06-05,32.6
2010-06-06,28.55
2010-06-07,39.13
2010-06-08,26.9
2010-06-09,32.32
2010-06-10,26.28
2010-06-11,22.89
2010-06-12,30.06
2010-06-13,24.25
2010-06-14,17.72
2010-06-15,20.93
2010-06-16,20.83
2010-06-17,23.69
2010-06-18,29.07
2010-06-19,27.11
2010-06-20,29.95
2010-06-21,29.32
2010-06-22,12.68
2010-06-23,19.19
2010-06-24,17.54
2010-06-25,16.78
2010-06-26,23.8
2010-06-27,18.14
2010-06-28,41.9
2010-06-29,30.37
2010-06-30,29.7
2010-07-01,32.26
2010-07-02,34.48
2010-07-03,35.9
2010-07-04,28.65
2010-07-05,28.11
2010-07-06,28.46
2010-07-07,21.91
2010-07-08,27.84
2010-07-09,27.74
2010-07-10,18.31
2010-07-11,19.89
2010-07-12,30.81
2010-07-13,36.79
2010-07-14,29.44
2010-07-15,29.33
2010-07-16,29.06
2010-07-17,29.17
2010-07-18,35.2
2010-07-19,35.13
2010-07-20,31.15
2010-07-21,43.52
2010-07-22,30.27
2010-07-23,27.1
2010-07-24,28.57
2010-07-25,36.49
2010-07-26,28.12
2010-07-27,23.98
2010-07-28,27.64
2010-07-29,29.51
2010-07-30,32.93
2010-07-31,27.56
2010-08-01,28.98
2010-08-02,31.79
2010-08-03,29.8
2010-08-04,35.88
2010-08-05,35.03
2010-08-06,42.72
2010-08-07,33.86
2010-08-08,33.03
2010-08-09,32.62
2010-08-10,42.39
2010-08-11,32.58
2010-08-12,24.12
2010-08-13,32.29
2010-08-14,37.5
2010-08-15,23.03
2010-08-16,37.66
2010-08-17,31.94
2010-08-18,25.03
2010-08-19,31.56
2010-08-20,23.77
2010-08-21,35.16
2010-08-22,25.0
2010-08-23,24.63
2010-08-24,36.55
2010-08-25,34.01
2010-08-26,41.07
2010-08-27,32.6
2010-08-28,31.57
2010-08-29,30.51
2010-08-30,28.76
2010-08-31,22.44
2010-09-01,32.34
2010-09-02,32.2
2010-09-03,32.16
2010-09-04,35.95
2010-09-05,32.7
2010-09-06,31.73
2010-09-07,37.73
2010-09-08,34.41
2010-09-09,31.82
2010-09-10,34.48
2010-09-11,33.88
2010-09-12,29.84
2010-09-13,35.5
2010-09-14,41.42
2010-09-15,33.85
2010-09-16,30.44
2010-09-17,31.97
2010-09-18,34.05
2010-09-19,33.75
2010-09-20,32.71
2010-09-21,27.51
2010-09-22,26.0
2010-09-23,36.47
2010-09-24,40.96
2010-09-25,34.38
2010-09-26,30.87
2010-09-27,35.57
2010-09-28,37.54
2010-09-29,35.81
2010-09-30,33.19
2010-10-01,18.16
2010-10-02,19.88
2010-10-03,24.68
2010-10-04,27.02
2010-10-05,37.64
2010-10-06,27.55
2010-10-07,27.93
2010-10-08,31.8
2010-10-09,26.0
2010-10-10,36.59
2010-10-11,44.17
2010-10-12,44.07
2010-10-13,33.26
2010-10-14,35.53
2010-10-15,35.39
2010-10-16,31.89
2010-10-17,33.98
2010-10-18,37.25
2010-10-19,32.81
2010-10-20,31.29
2010-10-21,28.45
2010-10-22,29.31
2010-10-23,32.25
2010-10-24,38.7
2010-10-25,38.33
2010-10-26,36.89
2010-10-27,30.47
2010-10-28,29.03
2010-10-29,29.08
2010-10-30,32.93
2010-10-31,38.81
2010-11-01,38.0
2010-11-02,33.16
2010-11-03,39.38
2010-11-04,24.46
2010-11-05,25.05
2010-11-06,24.07
2010-11-07,32.64
2010-11-08,36.11
2010-11-09,39.35
2010-11-10,33.44
2010-11-11,32.62
2010-11-12,35.51
2010-11-13,24.56
2010-11-14,27.62
2010-11-15,35.38
2010-11-16,28.43
2010-11-17,35.14
2010-11-18,38.97
2010-11-19,45.7
2010-11-20,40.27
2010-11-21,28.51
2010-11-22,31.4
2010-11-23,31.33
2010-11-24,40.0
2010-11-25,27.93
2010-11-26,30.29
2010-11-27,35.24
2010-11-28,26.42
2010-11-29,29.56
2010-11-30,28.54
2010-12-01,24.17
2010-12-02,28.12
2010-12-03,30.76
2010-12-04,35.57
2010-12-05,42.34
2010-12-06,30.28
2010-12-07,38.81
2010-12-08,33.88
2010-12-09,33.64
2010-12-10,32.2
2010-12-11,29.44
2010-12-12,27.59
2010-12-13,29.87
2010-12-14,35.81
2010-12-15,29.06
2010-12-16,26.51
2010-12-17,22.65
2010-12-18,24.77
2010-12-19,23.6
2010-12-20,27.31
2010-12-21,27.62
2010-12-22,31.18
2010-12-23,24.07
2010-12-24,26.14
2010-12-25,29.81
2010-12-26,22.77
2010-12-27,32.78
2010-12-28,36.93
2010-12-29,29.43
2010-12-30,25.84
2010-12-31,58.29
2011-01-01,31.79
2011-01-02,36.74
2011-01-03,29.33
2011-01-04,34.63
2011-01-05,28.9
2011-01-06,34.08
2011-01-07,37.99
2011-01-08,35.13
2011-01-09,31.3
2011-01-10,31.71
2011-01-11,22.96
2011-01-12,26.96
2011-01-13,26.6
2011-01-14,26.04
2011-01-15,25.91
2011-01-16,23.78
2011-01-17,27.02
2011-01-18,17.95
2011-01-19,10.7
2011-01-20,26.97
2011-01-21,30.48
2011-01-22,15.94
2011-01-23,28.4
2011-01-24,30.99
2011-01-25,27.16
2011-01-26,23.18
2011-01-27,42.49
2011-01-28,33.85
2011-01-29,28.8
2011-01-30,25.31
2011-01-31,26.05
2011-02-01,28.86
2011-02-02,24.95
2011-02-03,30.67
2011-02-04,31.83
2011-02-05,22.06
2011-02-06,29.93
2011-02-07,36.22
2011-02-08,29.0
2011-02-09,18.25
2011-02-10,21.4
2011-02-11,25.89
2011-02-12,22.25
2011-02-13,19.75
2011-02-14,22.68
2011-02-15,29.26
2011-02-16,26.43
2011-02-17,33.02
2011-02-18,30.23
2011-02-19,29.34
2011-02-20,29.58
2011-02-21,39.91
2011-02-22,42.4
2011-02-23,30.72
2011-02-24,28.98
2011-02-25,29.03
2011-02-26,20.57
2011-02-27,24.98
2011-02-28,24.92
2011-03-01,28.75
2011-03-02,35.37
2011-03-03,37.98
2011-03-04,32.27
2011-03-05,25.58
2011-03-06,29.53
2011-03-07,39.37
2011-03-08,29.11
2011-03-09,27.21
2011-03-10,17.33
2011-03-11,17.31
2011-03-12,17.83
2011-03-13,18.31
2011-03-14,27.17
2011-03-15,42.36
2011-03-16,33.37
2011-03-17,29.69
2011-03-18,36.77
2011-03-19,20.49
2011-03-20,18.44
2011-03-21,28.0
2011-03-22,26.04
2011-03-23,31.65
2011-03-24,40.19
2011-03-25,36.76
2011-03-26,42.45
2011-03-27,27.07
2011-03-28,29.28
2011-03-29,32.71
2011-03-30,25.22
2011-03-31,35.29
2011-04-01,29.99
2011-04-02,21.1
2011-04-03,26.72
2011-04-04,18.79
2011-04-05,26.51
2011-04-06,32.19
2011-04-07,25.88
2011-04-08,23.6
2011-04-09,22.61
2011-04-10,29.47
2011-04-11,38.53
2011-04-12,34.18
2011-04-13,44.67
2011-04-14,35.09
2011-04-15,37.39
2011-04-16,25.11
2011-04-17,14.97
2011-04-18,37.75
2011-04-19,34.21
2011-04-20,26.43
2011-04-21,23.92
2011-04-22,40.08
2011-04-23,28.33
2011-04-24,32.13
2011-04-25,27.74
2011-04-26,26.71
2011-04-27,29.33
2011-04-28,28.33
2011-04-29,17.89
2011-04-30,24.09
2011-05-01,29.23
2011-05-02,38.02
2011-05-03,29.99
2011-05-04,32.21
2011-05-05,27.77
2011-05-06,31.87
2011-05-07,31.37
2011-05-08,18.64
2011-05-09,44.05
2011-05-10,26.29
2011-05-11,28.5
2011-05-12,36.41
2011-05-13,26.62
2011-05-14,28.29
2011-05-15,37.08
2011-05-16,36.47
2011-05-17,28.35
2011-05-18,34.19
2011-05-19,35.78
2011-05-20,37.1
2011-05-21,33.47
2011-05-22,30.35
2011-05-23,30.93
2011-05-24,32.14
2011-05-25,28.6
2011-05-26,32.92
2011-05-27,37.27
2011-05-28,29.98
2011-05-29,22.74
2011-05-30,33.33
2011-05-31,27.05
